source_id,title,issuing_body,source_type,url,publication_date,access_date,language,primary_or_secondary,evidence_note,freshness_flag
sep7,7th Strategic Energy Plan,METI / Agency for Natural Resources and Energy (ANRE),plan,https://www.enecho.meti.go.jp/en/category/others/basic_plan/,2025-02-18,2026-05-29,en/ja,primary,"Cabinet-approved 18 Feb 2025; FY2040 mix ~40-50% renewables, ~20% nuclear, 30-40% thermal.",current
gx2040,GX2040 Vision,Cabinet / METI,plan,https://www.meti.go.jp/english/policy/energy_environment/global_warming/GX/index.html,2025-02-18,2026-05-29,en/ja,primary,"Cabinet-approved 18 Feb 2025; carbon pricing, GX-ETS, ~JPY20tn transition bonds.",current
gxets,GX-ETS / GX League,METI,market-structure reform,https://www.meti.go.jp/english/policy/energy_environment/global_warming/GX/index.html,2026-04-01,2026-05-29,en/ja,primary,Full-scale GX-ETS from FY2026; fossil-fuel surcharge in later years.,current
occto,Cross-regional Grid Master Plan,OCCTO,plan,https://www.occto.or.jp/en/,2023-03-29,2026-05-29,en/ja,primary,Multi-trillion-yen transmission build incl. Hokkaido-Honshu HVDC.,verify
h2act,Hydrogen Society Promotion Act,METI / ANRE,law / subsidy,https://www.meti.go.jp/english/,2024-05-01,2026-05-29,en/ja,primary,Low-carbon hydrogen price-gap (CfD-style) support; applications FY2024-25.,current
ccsact,CCS Business Act,METI / JOGMEC,law,https://www.meti.go.jp/english/,2024-05-01,2026-05-29,en/ja,primary,Enacted 2024; advanced CCS projects selected; commercial CCS target 2030.,current
esec,Economic Security Promotion Act (ESPA),Cabinet Office / METI,law / subsidy,https://www.cao.go.jp/keizai_anzen_hosho/,2022-05-18,2026-05-29,en/ja,primary,"Specified critical products: semis, batteries, minerals, cloud, ship parts; ~JPY72.5bn cloud/AI compute approved.",verify
fefta,Foreign Exchange and Foreign Trade Act (FEFTA) / export controls,METI / MOF,regulation,https://www.meti.go.jp/english/policy/external_economy/trade_control/,2025-01-01,2026-05-29,en/ja,primary,FDI screening and dual-use export controls; tightened around advanced tech.,current
dbp,Defense Buildup Program,Ministry of Defense (MOD),plan / procurement,https://www.mod.go.jp/en/d_act/d_policy/,2022-12-16,2026-05-29,en/ja,primary,"Five-year JPY43tn program FY2023-27; stand-off, IAMD, unmanned, space, cyber.",verify
mod26,FY2026 Defense Budget / Progress in Fundamental Reinforcement,Ministry of Defense (MOD),budget,https://www.mod.go.jp/en/d_act/d_budget/,2025-12-26,2026-05-29,en/ja,primary,Record budget; defense spending toward ~2% of GDP; expanded unmanned and long-range munitions.,current
dpbact,Defense Production Base Strengthening Act,Ministry of Defense (MOD),law / fund,https://www.mod.go.jp/en/,2023-10-01,2026-05-29,en/ja,primary,Support for production-base reinforcement and equipment transfer.,verify
rapidus,Rapidus 2nm funding / METI support,METI / Rapidus,subsidy / capital injection,https://www.rapidus.inc/en/,2026-04-11,2026-05-29,en/ja,primary,"FY2025 subsidies ~JPY802.5bn; additional JPY631.5bn approved Apr 2026; cumulative state support trending toward ~JPY2.9tn; 2nm mass-production target 2027, FY2031 IPO target.",current
metisemi,Semiconductor & Digital Industry Strategy / Post-5G program,METI / NEDO,subsidy,https://www.meti.go.jp/english/policy/mono_info_service/joho/semiconductors/,2025-01-01,2026-05-29,en/ja,primary,"Leading-edge logic, power/analog, materials, equipment, advanced packaging support.",current
icea,Industrial Competitiveness Enhancement Act (revised),METI,law / subsidy / tax,https://www.meti.go.jp/english/policy/economy/industrial_competitiveness/,2024-09-02,2026-05-29,en/ja,primary,"Production-linked support for semis, EVs, green steel, SAF; mid-sized-enterprise support.",current
aicompute,Domestic cloud / AI-compute support (ESPA) + Information Processing Act,METI / Digital Agency,subsidy / law,https://www.meti.go.jp/english/,2025-01-01,2026-05-29,en/ja,primary,~JPY72.5bn approved for cloud programs / AI compute; 2025 information-processing law.,current
digiagency,Digital Agency policy dashboards & priority plan,Digital Agency,plan / dashboard,https://www.digital.go.jp/en/,2025-06-01,2026-05-29,en/ja,primary,"Policy Dashboard, Japan Dashboard, Digital Marketplace, Technology Map Portal; Government AI (GENAI).",current
digicloud,Government Cloud,Digital Agency,procurement,https://www.digital.go.jp/en/policies/gov_cloud,2025-01-01,2026-05-29,en/ja,primary,National/local migration to Government Cloud; DXSaaS certification for local governments.,current
cashless,Cashless payment ratio statistics & roadmap,METI,strategy / data,https://www.meti.go.jp/english/press/,2025-03-31,2026-05-29,en/ja,primary,2025 cashless ratio 58.0%; interim 65% by 2030; long-term 80%.,current
nisa,New NISA,FSA,tax incentive,https://www.fsa.go.jp/policy/nisa2/,2024-01-01,2026-05-29,en/ja,primary,Permanent tax-free investing from Jan 2024; ~24.3mn accounts (Jun 2024); ~JPY15tn net fund inflows in 2024.,current
amcenter,Policy Plan for Promoting Japan as a Leading Asset Management Center,FSA,plan,https://www.fsa.go.jp/en/policy/index.html,2025-05-21,2026-05-29,en/ja,primary,"Asset-management upgrade, emerging-managers program, global-manager attraction.",current
