category_id,subcategory_id,subcategory_name_en,subcategory_name_ja,slug,money_flow,stock_logic,status_of_review
energy,energy-01,"Nuclear Restarts, Life Extension & Nuclear Supply Chain",原発再稼働・運転延長・原子力サプライチェーン,nuclear-restarts-life-extension-and-nuclear-supply-chain,"There is no single cheque for this. The money shows up as utility spending: restarting idled reactors, paying for safety upgrades the regulator now requires, long-term maintenance, and early research into next-generation reactors. The companies that receive it are the regional power utilities that own reactors and the heavy-equipment and engineering firms that service them.","The plan sets a goal, not a guarantee. Nuclear supplied about 8.5% of Japan's electricity in 2023; the target is roughly 20% by 2040. Each restart still needs the Nuclear Regulation Authority to clear it, so the real signal is approvals at specific plants. The clearest near-term watch item is whether Tokyo Electric's Kashiwazaki-Kariwa units are allowed to restart.","reviewed (deep, bilingual)"
energy,energy-02,"Grid Expansion, Interconnection & Power System Reform",送電網増強・地域間連系・電力システム改革,grid-expansion-interconnection-and-power-system-reform,"The grid operators' coordinating body, OCCTO, has costed the build at roughly ¥6 trillion to ¥7.9 trillion by 2050. The single largest piece is an undersea high-voltage cable from Hokkaido to Honshu, estimated at ¥1.5–1.8 trillion. Utilities recover this spending through regulated charges on electricity use, so the cash reaches the makers of cables, transformers, and substations over many years.","Because the cost is recovered through regulated charges rather than a one-off subsidy, the order flow is steadier but slower than a stimulus package. The signal to watch is OCCTO's master-plan updates and the tenders for specific lines, especially the Hokkaido–Honshu link. Whether construction holds to schedule, given the same labor shortage hitting all construction, is the open question.","reviewed (deep, bilingual)"
energy,energy-03,"Renewables: Offshore Wind, Solar, Geothermal & Biomass",再生可能エネルギー（洋上風力・太陽光・地熱・バイオマス）,renewables-offshore-wind-solar-geothermal-and-biomass,"Two mechanisms carry the money. First, a surcharge on everyone's electricity bill funds above-market prices for renewable power, which pays developers and their equipment suppliers. Second, the government runs auctions for offshore-wind zones; winning a zone gives a developer the right to build, which then flows orders to turbine, foundation, and marine-construction firms.","The plan targets renewables at 40–50% of the power mix by 2040, with solar at 23–29% of that. For offshore wind specifically, the signal is each auction round and the designation of new promotion zones. A separate watch item is whether next-generation thin-film (perovskite) solar, which Japan is backing, reaches commercial scale.","reviewed (deep, bilingual)"
energy,energy-05,"Hydrogen, Ammonia & Low-Carbon Fuels",水素・アンモニア・低炭素燃料,hydrogen-ammonia-and-low-carbon-fuels,"The Hydrogen Society Promotion Act, passed in May 2024, closes that price gap directly. The government, through the agency JOGMEC, pays approved suppliers the difference between what clean hydrogen costs to make and what buyers would pay for the dirty fuel it replaces. The commitment is about ¥3 trillion over fifteen years. The money reaches trading houses, plant engineers, gas and power utilities, and shipping firms.","This is a long, contracted subsidy, not a one-year grant. The government has committed the ¥3 trillion and opened the first round of applications, and has already certified ammonia projects led by JERA and Mitsui. The open question is whether enough clean hydrogen is actually produced and bought at scale. Watch the certified-project list and the first delivered volumes.","reviewed (deep, bilingual)"
energy,energy-07,"CCS, CCUS & Carbon Management Infrastructure",CCS・CCUS・炭素管理インフラ,ccs-ccus-and-carbon-management-infrastructure,"Japan passed the CCS Business Act in 2024, which created the licences and rules for storing carbon underground. The government, again through JOGMEC, selected a set of advanced projects and supports the capture, transport, and storage steps. The money reaches engineering firms, pipeline and shipping operators, and the heavy industries that emit the carbon.","The policy has moved from idea to law, with a stated aim of starting commercial CCS by 2030. Because no single headline budget has been set, the signal is project-level: which advanced projects reach a final investment decision, and whether storage sites are licensed on time. Treat the 2030 start date as an ambition to test, not a delivered fact.","reviewed (deep, bilingual)"
energy,energy-08,"Carbon Pricing, GX-ETS & Transition Finance",カーボンプライシング・GX-ETS・トランジションファイナンス,carbon-pricing-gx-ets-and-transition-finance,"The government issued about ¥20 trillion of 'GX transition bonds' — borrowing now to fund decarbonization investment — with the aim of pulling in ¥150 trillion of public and private investment over ten years from 2023. From FY2026 a full emissions-trading scheme (GX-ETS) begins, and fossil-fuel charges follow later. So banks, exchanges, and clean-tech suppliers benefit, while heavy emitters face a rising cost.","This splits the market into winners and cost-bearers, which is the point. The government has committed the ¥20 trillion and set FY2026 for the trading scheme to start in earnest. The open questions are how high the carbon price actually rises and how strictly the scheme is enforced — a weak price would blunt the whole mechanism. Watch the GX-ETS rulebook and the first compliance cycle.","reviewed (deep, bilingual)"
defense,defense-01,Stand-Off Missiles & Counterstrike Capability,スタンド・オフ・ミサイル／反撃能力,stand-off-missiles-and-counterstrike-capability,"This is one of the clearest spending buckets in Japan's five-year, ¥43 trillion Defense Buildup Program (fiscal 2023–2027). About ¥5 trillion of that program is set aside for counterstrike and stand-off weapons. The money is committed through multi-year procurement contracts, so it flows steadily to missile makers, propulsion and guidance suppliers, and electronics firms.","Unlike most policy themes, this one is already contracted, so the question is delivery rather than approval. The government is buying an upgraded, longer-range version of the domestic Type-12 missile and begins mass-producing home-made hypersonic missiles from FY2026. Watch the annual defense budget (requested each August, approved each December) and production milestones for those two programs.","reviewed (deep, bilingual)"
defense,defense-02,Integrated Air & Missile Defense,統合防空ミサイル防衛,integrated-air-and-missile-defense,"It is a named priority inside the same ¥43 trillion Defense Buildup Program. The biggest single project is two new Aegis System Equipped Vessels — large warships built around a missile-defense radar and interceptor system — plus a glide-phase interceptor being co-developed with the United States. The money reaches shipbuilders, radar and electronics makers, and interceptor suppliers.","The spending is committed, so the watch items are build milestones: the construction schedule of the two Aegis vessels and procurement decisions on interceptors. Because these are long warship programs, progress is measured in years, and delays show up as deferred revenue for the contractors rather than cancellations.","reviewed (deep, bilingual)"
defense,defense-03,"Unmanned Systems, Drones & Counter-UAS",無人機・ドローン・対UAS,unmanned-systems-drones-and-counter-uas,"Funding sits inside the ¥43 trillion program, and the FY2026 budget expanded it. The plan aims for practical deployment of drones by FY2027, and the military is buying and leasing systems early rather than waiting for full domestic development. The money reaches drone makers, sensor and communications suppliers, and the firms building counter-drone defenses.","The government has set FY2027 as the target for practical use and increased the budget line, so the near-term signals are acquisition rounds and counter-drone deployments. A reasonable check is whether Japan buys mostly foreign systems first or succeeds in building a domestic supply base — the investable outcome depends on which.","reviewed (deep, bilingual)"
defense,defense-08,"Defense Production Base, Munitions & Sustainment",防衛生産基盤・弾薬・継戦能力,defense-production-base-munitions-and-sustainment,"The Defense Production Base Strengthening Act, in force from 2023, created support to reinforce production lines, fund the transfer of equipment businesses between firms, and expand munitions capacity. Combined with the larger ¥43 trillion program, this steadies orders for prime contractors, munitions and explosives makers, shipyards, and the smaller specialist suppliers beneath them.","The shift is from one-off purchases to sustained capacity, so the signal is whether suppliers actually invest in new lines — for example, expanded munitions plants — rather than just bidding on single contracts. Watch production-base reinforcement grants and announced capacity expansions.","reviewed (deep, bilingual)"
