url,locale,title,description_excerpt,status,notes
https://jpinv.com/,ja,海外IR診断カード｜海外投資家目線のIR診断｜JII,海外投資家から見た自社IRを12項目・24点で診断,active,Home (current core LP)
https://jpinv.com/サービス/,ja,サービス｜海外IR診断カードの内容と進め方｜JII,海外IR診断カードの診断範囲・成果物・ワークフロー,active,Service overview (becomes hub)
https://jpinv.com/料金/,ja,料金｜海外IR診断カードのプランと条件｜JII,Light/Standard/Pro各プランの料金,active,Pricing
https://jpinv.com/会社概要/,ja,会社概要｜Japan Investor Interface Co., Ltd.,株式会社ジャパン・インベスター・インターフェースの会社情報,active,Company (needs Person schema)
https://jpinv.com/お問い合わせ/,ja,お問い合わせ｜海外IR診断カード｜JII,海外IR診断カード等のお問い合わせ,active,Contact (RFQ form)
https://jpinv.com/faq/,ja,FAQ｜海外IR診断カードのよくある質問｜JII,翻訳との違い・守秘義務・所要期間,active,FAQ (needs FAQPage schema)
https://jpinv.com/availability/,ja,(unread),(unread),active,Availability page (needs check)
https://jpinv.com/compounders/,ja,(unread),(unread),active,Compounders hub
https://jpinv.com/compounders/4194/,ja,(unread),(unread),active,Compounder 4194
https://jpinv.com/compounders/4475/,ja,(unread),(unread),active,Compounder 4475
https://jpinv.com/compounders/4776/,ja,(unread),(unread),active,Compounder 4776
https://jpinv.com/compounders/methodology/,ja,(unread),(unread),active,Methodology
https://jpinv.com/compounders/methodology/ja/,ja,(unread),(unread),active,Methodology JA
https://jpinv.com/compounders/universe/,ja,(unread),(unread),active,Universe list
https://jpinv.com/en/,en,(unread - English),(unread),active,Home EN
https://jpinv.com/en/services/,en,(unread),(unread),active,Services EN
https://jpinv.com/en/pricing/,en,(unread),(unread),active,Pricing EN
https://jpinv.com/en/company/,en,(unread),(unread),active,Company EN
https://jpinv.com/en/contact/,en,(unread),(unread),active,Contact EN
https://jpinv.com/en/faq/,en,(unread),(unread),active,FAQ EN
https://jpinv.com/en/compounders/,en,(unread),(unread),active,Compounders EN
https://jpinv.com/en/compounders/4194/,en,(unread),(unread),active,
https://jpinv.com/en/compounders/4475/,en,(unread),(unread),active,
https://jpinv.com/en/compounders/4776/,en,(unread),(unread),active,
https://jpinv.com/en/compounders/methodology/,en,(unread),(unread),active,
https://jpinv.com/en/compounders/universe/,en,(unread),(unread),active,
https://jpinv.com/サービス/diagnostic/,ja,海外IR診断｜12項目・24点で海外投資家視点を可視化｜JII,海外投資家から見た自社IRを12項目・24点で診断,NEW,LP1 implementing
https://jpinv.com/サービス/english-review/,ja,英文IRレビュー｜海外投資家視点で英文IRの伝わり方を点検｜JII,英文IR・決算短信英訳・適時開示英訳をレビュー,NEW,LP2 spec
https://jpinv.com/サービス/meeting-support/,ja,海外投資家面談支援｜面談前後のIR対話設計と立ち会い通訳｜JII,機関投資家1on1・IRデイ・カンファレンス面談支援,NEW,LP3 spec
https://jpinv.com/サービス/earnings-review/,ja,決算説明資料レビュー｜決算説明会の英文資料を投資家視点で点検｜JII,決算短信・決算説明会資料・QAスクリプトをレビュー,NEW,LP4 spec
https://jpinv.com/サービス/disclosure-review/,ja,英文開示レビュー｜適時開示英訳・統合報告書英文を投資家視点で点検｜JII,適時開示英訳・統合報告書英文をレビュー,NEW,LP5 spec
https://jpinv.com/サービス/ir-support/,ja,海外投資家向けIR支援｜継続的なIRコミュニケーション伴走｜JII,海外投資家との対話を四半期サイクルで磨く,NEW,LP6 spec
https://jpinv.com/サービス/interpretation/,ja,IRミーティング通訳支援｜IR現場経験のある通訳者による立ち会い｜JII,IRデイ・1on1・カンファレンス面談での立ち会い通訳,NEW,LP7 spec
https://jpinv.com/articles/,ja,Articles｜海外IRと英文IRに関する考察｜JII,実務観察から書く海外IRの考察記事一覧,NEW,Articles hub
https://jpinv.com/articles/why-correct-english-doesnt-reach/,ja,なぜ「正しい英語」でも海外投資家に伝わらないのか｜海外IRの実務観察｜JII,英文IRが海外投資家に伝わらない理由を整理,NEW,A1 implementing
https://jpinv.com/articles/first-10-minutes-overseas-investor/,ja,海外投資家が最初の10分で見ていること｜IRミーティングの実務観察｜JII,投資家が面談初頭で確認する3要素,NEW,A2 spec
https://jpinv.com/articles/common-overseas-ir-failures/,ja,海外IRでよく起きるコミュニケーションの失敗5パターン｜JII,海外IRでの典型的な失敗5つを整理,NEW,A3 spec
https://jpinv.com/articles/misreadings-in-english-ir/,ja,英文IR資料で起きやすい誤解5選｜海外投資家が読み間違える表現｜JII,英文IRで誤解されやすい5つの表現を解説,NEW,A4 spec
https://jpinv.com/articles/overseas-ir-readiness-checklist/,ja,海外投資家向けIR readiness チェックリスト｜面談前に整えるべき12項目｜JII,海外投資家IRに必要な12項目チェックリスト,NEW,A5 spec
https://jpinv.com/articles/interpretation-changes-investor-perception/,ja,決算説明会通訳で変わる海外投資家の印象｜通訳者がIRに与える影響｜JII,IR通訳の質が投資家印象に与える影響,NEW,A6 spec
