ticker_code,company_name,company_name_ja,edinet_code,market,subcategory_id,subcategory_name_en,category_id,exposure_type,exposure_score,confidence_score,why_relevant,policy_transmission_type,time_horizon,evidence_type,source_ids,last_verified
9503,Kansai Electric Power,関西電力,E04499,TSE,energy-01,"Nuclear Restarts, Life Extension & Nuclear Supply Chain",energy,direct,85,85,"Operates Japan's largest fleet of restartable reactors (Mihama, Takahama, Ohi); core beneficiary of the 7th SEP maximize-nuclear stance.",capex_demand,medium|long,EDINET-verified listing + segment/industry + policy mapping,sep7|gx2040,2026-05-29
9508,Kyushu Electric Power,九州電力,E04506,TSE,energy-01,"Nuclear Restarts, Life Extension & Nuclear Supply Chain",energy,direct,84,82,Sendai and Genkai restarts make Kyushu a leading nuclear-utilization utility.,capex_demand,medium|long,EDINET-verified listing + segment/industry + policy mapping,sep7|gx2040,2026-05-29
9507,Shikoku Electric Power,四国電力,E04505,TSE,energy-01,"Nuclear Restarts, Life Extension & Nuclear Supply Chain",energy,direct,80,74,Ikata restart gives nuclear utilization leverage for a small-cap utility.,capex_demand,medium|long,EDINET-verified listing + segment/industry + policy mapping,sep7|gx2040,2026-05-29
9502,Chubu Electric Power,中部電力,E04502,TSE,energy-01,"Nuclear Restarts, Life Extension & Nuclear Supply Chain",energy,direct,76,68,Hamaoka restart optionality plus large grid/thermal footprint.,capex_demand,medium|long,EDINET-verified listing + segment/industry + policy mapping,sep7|gx2040,2026-05-29
9501,Tokyo Electric Power (TEPCO),東京電力ホールディングス,E04498,TSE,energy-01,"Nuclear Restarts, Life Extension & Nuclear Supply Chain",energy,direct,76,66,Kashiwazaki-Kariwa restart is the central earnings catalyst and risk.,capex_demand,medium|long,EDINET-verified listing + segment/industry + policy mapping,sep7|gx2040,2026-05-29
9513,J-Power (Electric Power Development),電源開発,E04510,TSE,energy-01,"Nuclear Restarts, Life Extension & Nuclear Supply Chain",energy,direct,72,60,Oma next-generation nuclear project; wholesale nuclear/thermal generator.,capex_demand,medium|long,EDINET-verified listing + segment/industry + policy mapping,sep7|gx2040,2026-05-29
7011,Mitsubishi Heavy Industries,三菱重工業,E02126,TSE,energy-01,"Nuclear Restarts, Life Extension & Nuclear Supply Chain",energy,direct,78,70,"Nuclear-island components, reactor systems and maintenance for restarts and next-gen reactors.",procurement,medium|long,EDINET-verified listing + segment/industry + policy mapping,sep7|gx2040,2026-05-29
9501,Tokyo Electric Power (TEPCO),東京電力ホールディングス,E04498,TSE,energy-02,"Grid Expansion, Interconnection & Power System Reform",energy,direct,78,70,Owns TEPCO Power Grid; central to the OCCTO cross-regional transmission build.,capex_demand,medium|long,EDINET-verified listing + segment/industry + policy mapping,occto|sep7,2026-05-29
9503,Kansai Electric Power,関西電力,E04499,TSE,energy-02,"Grid Expansion, Interconnection & Power System Reform",energy,direct,74,62,Regional transmission system operator inside the grid master plan.,capex_demand,medium|long,EDINET-verified listing + segment/industry + policy mapping,occto|sep7,2026-05-29
5802,Sumitomo Electric Industries,住友電気工業,E01333,TSE,energy-02,"Grid Expansion, Interconnection & Power System Reform",energy,direct,84,82,HVDC and high-voltage power cables — core supplier to the multi-trillion-yen grid build.,capex_demand,medium|long,EDINET-verified listing + segment/industry + policy mapping,occto|sep7,2026-05-29
