from_url,to_url,anchor_text,placement,priority
/,/サービス/diagnostic/,海外IR診断,nav + hero secondary CTA + service teaser,P0
/,/サービス/english-review/,英文IRレビュー,nav + service teaser,P0
/,/サービス/meeting-support/,海外投資家面談支援,nav + service teaser,P0
/,/サービス/earnings-review/,決算説明資料レビュー,service teaser,P1
/,/サービス/disclosure-review/,英文開示レビュー,service teaser,P1
/,/サービス/ir-support/,海外投資家向けIR支援,service teaser,P1
/,/サービス/interpretation/,IRミーティング通訳支援,service teaser,P1
/,/articles/,海外IRに関する考察,nav + secondary,P0
/サービス/,/サービス/diagnostic/,海外IR診断の詳細,sub-LP card,P0
/サービス/,/サービス/english-review/,英文IRレビューの詳細,sub-LP card,P0
/サービス/,/サービス/meeting-support/,海外投資家面談支援の詳細,sub-LP card,P0
/サービス/,/サービス/earnings-review/,決算説明資料レビューの詳細,sub-LP card,P0
/サービス/,/サービス/disclosure-review/,英文開示レビューの詳細,sub-LP card,P0
/サービス/,/サービス/ir-support/,海外投資家向けIR支援の詳細,sub-LP card,P0
/サービス/,/サービス/interpretation/,IRミーティング通訳支援の詳細,sub-LP card,P0
/サービス/diagnostic/,/articles/overseas-ir-readiness-checklist/,海外IR readiness チェックリストを見る,related-article,P0
/サービス/diagnostic/,/サービス/english-review/,英文IRレビューと組み合わせる,cross-LP,P1
/サービス/diagnostic/,/料金/,プラン詳細,sidebar/footer,P1
/サービス/english-review/,/articles/why-correct-english-doesnt-reach/,なぜ正しい英語でも伝わらないのか,related-article,P0
/サービス/english-review/,/articles/misreadings-in-english-ir/,英文IR資料で起きやすい誤解,related-article,P0
/サービス/english-review/,/サービス/disclosure-review/,英文開示のレビューも見る,cross-LP,P1
/サービス/meeting-support/,/articles/first-10-minutes-overseas-investor/,海外投資家が最初の10分で見ていること,related-article,P0
/サービス/meeting-support/,/サービス/interpretation/,通訳支援も併せて,cross-LP,P0
/サービス/earnings-review/,/サービス/interpretation/,決算説明会の通訳支援,cross-LP,P0
/サービス/earnings-review/,/articles/common-overseas-ir-failures/,海外IRでよく起きる失敗,related-article,P0
/サービス/disclosure-review/,/articles/misreadings-in-english-ir/,英文IR資料で起きやすい誤解,related-article,P0
/サービス/disclosure-review/,/サービス/english-review/,英文IRレビューも合わせて,cross-LP,P1
/サービス/ir-support/,/articles/overseas-ir-readiness-checklist/,IR readiness チェックリスト,related-article,P0
/サービス/ir-support/,/サービス/diagnostic/,診断から始める,cross-LP,P0
/サービス/interpretation/,/articles/interpretation-changes-investor-perception/,通訳で変わる投資家印象,related-article,P0
/サービス/interpretation/,/サービス/meeting-support/,面談前後の支援も,cross-LP,P0
/articles/,/articles/why-correct-english-doesnt-reach/,なぜ正しい英語でも伝わらないのか,article card,P0
/articles/,/articles/first-10-minutes-overseas-investor/,海外投資家が最初の10分で見ていること,article card,P0
/articles/,/articles/common-overseas-ir-failures/,海外IRでよく起きる失敗5パターン,article card,P0
/articles/,/articles/misreadings-in-english-ir/,英文IR資料で起きやすい誤解5選,article card,P0
/articles/,/articles/overseas-ir-readiness-checklist/,海外IR readiness チェックリスト,article card,P0
/articles/,/articles/interpretation-changes-investor-perception/,決算説明会通訳で変わる投資家印象,article card,P0
/articles/why-correct-english-doesnt-reach/,/サービス/english-review/,英文IRレビューの内容を見る,bottom CTA,P0
/articles/why-correct-english-doesnt-reach/,/サービス/diagnostic/,海外IR診断を見る,bottom CTA,P0
/articles/first-10-minutes-overseas-investor/,/サービス/meeting-support/,海外投資家面談支援を見る,bottom CTA,P0
/articles/first-10-minutes-overseas-investor/,/サービス/diagnostic/,海外IR診断を見る,bottom CTA,P0
/articles/common-overseas-ir-failures/,/サービス/diagnostic/,海外IR診断を見る,bottom CTA,P0
/articles/common-overseas-ir-failures/,/サービス/ir-support/,海外投資家向けIR支援を見る,bottom CTA,P0
/articles/misreadings-in-english-ir/,/サービス/english-review/,英文IRレビューを見る,bottom CTA,P0
/articles/misreadings-in-english-ir/,/サービス/disclosure-review/,英文開示レビューを見る,bottom CTA,P0
/articles/overseas-ir-readiness-checklist/,/サービス/diagnostic/,診断カードで点検する,bottom CTA,P0
/articles/overseas-ir-readiness-checklist/,/サービス/ir-support/,継続支援を相談する,bottom CTA,P0
/articles/interpretation-changes-investor-perception/,/サービス/interpretation/,IRミーティング通訳支援を見る,bottom CTA,P0
/articles/interpretation-changes-investor-perception/,/サービス/meeting-support/,面談前後支援を見る,bottom CTA,P0
/compounders/,/articles/first-10-minutes-overseas-investor/,投資家フレームの解説,related,P1
/compounders/methodology/,/articles/common-overseas-ir-failures/,海外IRの観察記事,related,P2
/会社概要/,/articles/,代表の考察記事一覧,bio bottom,P1
/会社概要/,/サービス/diagnostic/,海外IR診断を見る,bio CTA,P1
/faq/,/サービス/,各サービスの詳細を見る,bottom,P1
/料金/,/サービス/diagnostic/,診断の内容を見る,plan card link,P1
