keyword,intent_type,search_volume_estimate,competition,target_url,priority,notes
海外IR診断,commercial,Mid,Low,/,P0,JIIの中核ブランドKW、既に強い
海外IR,informational+commercial,High,Mid,/サービス/diagnostic/,P0,中核戦略KW
英文IR,informational+commercial,High,Mid,/サービス/english-review/,P0,翻訳会社が競合だが伝達力で差別化
英文開示,informational,High,Low,/サービス/disclosure-review/,P0,英文開示の作り方ではなく投資家視点レビュー軸
英文IRレビュー,commercial,Low,Low,/サービス/english-review/,P0,長期で取りに行くロングテール
IR英訳,commercial,High,High,/サービス/english-review/,P1,「英訳」感を避けつつ流入は取りたい
海外投資家 IR,informational+commercial,High,Mid,/サービス/ir-support/,P0,broad だが LP で受ける
海外投資家 面談,informational,Mid,Low,/サービス/meeting-support/,P0,面談支援軸の中核
機関投資家 面談 通訳,commercial,Low,Low,/サービス/interpretation/,P0,IR現場経験が決め手
IRミーティング 通訳,commercial,Low,Low,/サービス/interpretation/,P0,
決算説明会 英語,informational,Mid,Mid,/サービス/earnings-review/,P0,
決算短信 英訳,commercial,Mid,High,/サービス/disclosure-review/,P1,翻訳会社競合が多いが伝達力で差別化
適時開示 英訳,commercial,Mid,High,/サービス/disclosure-review/,P1,
統合報告書 英語,informational,Mid,Mid,/サービス/disclosure-review/,P1,統合報告書英文の作り方/レビュー
統合報告書 英訳,commercial,Mid,High,/サービス/disclosure-review/,P2,
英文IR資料,informational,Mid,Mid,/サービス/english-review/,P1,
海外投資家対応,informational,Mid,Low,/サービス/ir-support/,P0,
外国人投資家向けIR,informational,Mid,Low,/サービス/ir-support/,P0,
外国人投資家 対話,informational,Low,Low,/サービス/ir-support/,P1,
海外IR支援,commercial,Mid,Low,/サービス/ir-support/,P0,
英語IR改善,informational,Low,Low,/articles/why-correct-english-doesnt-reach/,P1,
IR資料 英訳,commercial,High,High,/サービス/english-review/,P1,翻訳会社競合だが伝達力で差別化
海外IR readiness,informational,Low,Low,/articles/overseas-ir-readiness-checklist/,P1,英語混在KW、リードマグネット
海外IR 失敗,informational,Low,Low,/articles/common-overseas-ir-failures/,P1,
英文IR 伝わらない,informational,Low,Low,/articles/why-correct-english-doesnt-reach/,P1,authority KW
海外投資家 英語 伝わらない,informational,Low,Low,/articles/why-correct-english-doesnt-reach/,P2,
海外投資家 10分 IR,informational,Low,Low,/articles/first-10-minutes-overseas-investor/,P2,authority article
IRミーティング 最初,informational,Low,Low,/articles/first-10-minutes-overseas-investor/,P2,
英文IR 誤解,informational,Low,Low,/articles/misreadings-in-english-ir/,P1,authority article
英文IR ミス,informational,Low,Low,/articles/misreadings-in-english-ir/,P2,
海外投資家 IR チェックリスト,informational,Low,Low,/articles/overseas-ir-readiness-checklist/,P1,リードマグネット
海外IR 準備,informational,Low,Low,/articles/overseas-ir-readiness-checklist/,P2,
決算説明会 通訳,commercial,Low,Low,/サービス/interpretation/,P0,
通訳 投資家印象,informational,Very Low,Low,/articles/interpretation-changes-investor-perception/,P2,authority
IR 英語 改善,informational,Low,Low,/サービス/english-review/,P1,
英文IR 添削,commercial,Low,Low,/サービス/english-review/,P1,「添削」より「レビュー」で差別化
投資家視点 IR,informational,Low,Low,/サービス/diagnostic/,P1,
資本市場ストーリー,informational,Very Low,Low,/サービス/ir-support/,P2,broad concept
IR コミュニケーション,informational,Low,Low,/サービス/ir-support/,P1,
IR 伝達力,informational,Very Low,Low,/articles/why-correct-english-doesnt-reach/,P2,
英文IR 点検,commercial,Low,Low,/サービス/english-review/,P1,
海外IR 点検,commercial,Low,Low,/サービス/diagnostic/,P1,
英文プレゼン IR,informational,Low,Low,/サービス/earnings-review/,P2,
Capital Allocation 説明,informational,Low,Low,/articles/common-overseas-ir-failures/,P2,
